,Player,Seasons,Games,Minutes,DWS,Seasons_>50,Seasons_>75,Seasons_DPOY,Seasons_>50_DPOY,Seasons_>75_DPOY,DPOY_awards,DPOY_shares
/players/g/gillke01.html,Kendall Gill,15,966,29481,28.200000000000003,13,11,15,13,11,0,0.01688515246508977
/players/k/knighbr01.html,Brevin Knight,12,729,18176,21.500000000000004,12,7,12,12,7,0,0.008620689655172414
/players/r/ratlith01.html,Theo Ratliff,16,810,20500,30.2,12,7,16,12,7,0,0.22387083396516297
/players/c/currymi01.html,Michael Curry,11,667,13208,9.5,9,8,11,9,8,0,0.00847457627118644
/players/j/jonesed02.html,Eddie Jones,14,954,32778,43.4,14,12,14,14,12,0,0.10099657040608381
/players/r/robincl02.html,Clifford Robinson,18,1380,42561,56.099999999999994,18,17,18,18,17,0,0.02500350189102115
/players/o/onealsh01.html,Shaquille O'Neal,19,1207,41918,66.49999999999999,17,11,19,17,11,0,0.2477949793000791
/players/b/bryanko01.html,Kobe Bryant,20,1346,48637,50.6,18,18,20,18,18,0,0.26160218228062715
/players/k/kiddja01.html,Jason Kidd,19,1391,50111,74.89999999999999,19,17,19,19,17,0,0.016394544110730366
/players/c/chrisdo01.html,Doug Christie,15,827,26079,29.099999999999998,11,9,15,11,9,0,0.21846987700646237
/players/w/wallabe01.html,Ben Wallace,16,1088,32085,70.60000000000001,15,13,16,15,13,4,3.74640362852487
/players/b/bowenbr01.html,Bruce Bowen,13,873,24052,33.3,12,9,13,12,9,0,1.5139975600363842
/players/i/iversal01.html,Allen Iverson,14,914,37584,38.199999999999996,13,10,14,13,10,0,0.07370273087346257
/players/m/mariosh01.html,Shawn Marion,16,1163,40097,61.3,16,14,16,16,14,0,0.34197494360963376
/players/a/artesro01.html,Metta World Peace,17,991,31440,41.300000000000004,13,10,17,13,10,1,1.2808419978511631
/players/s/snower01.html,Eric Snow,13,846,23132,25.300000000000004,12,9,13,12,9,0,0.010256410256410256
/players/m/martike01.html,Kenyon Martin,15,757,23134,36.000000000000014,11,7,15,11,7,0,0.015116069557202197
/players/f/foylead01.html,Adonal Foyle,12,733,13060,15.499999999999998,11,7,12,11,7,0,0.005128205128205128
/players/k/kirilan01.html,Andrei Kirilenko,13,797,23916,34.599999999999994,12,9,13,12,9,0,0.3648446030196907
/players/p/poseyja01.html,James Posey,12,864,23260,28.000000000000004,12,10,12,12,10,0,0.003265795787789923
/players/w/watsoea01.html,Earl Watson,13,878,19494,14.8,12,11,13,12,11,0,0.001652892561983471
